Claim_ID,Exact_Claim,Claim_Type,Article_Location,Supporting_Source,Source_Type,Mathematical_Proof,Lean_Theorem,Experimental_Result,Verification_Method,Reviewer_Notes,Final_Status
C1,"The LLM proposes and explains; the caregiver confirms assumptions; the deterministic translator constructs the model; Lean verifies the formal claim.",Architecture,Introduction,"System Design",Architecture,No,No,No,System Design,Core architecture of the proposed system,Verified
C2,"Under an explicit and reviewable model of the environment, child capabilities, barrier state, and permitted transitions, Lean 4 can verify that designated hazard states are unreachable.",Core Claim,Abstract,"Mathematical formulation",Formal,Yes,Yes,No,Lean Proof,Bounded safety claim,Verified
C3,"The stair threshold gate blocks the staircase exactly under the specified route and barrier assumptions.",Theorem,Section 7,"Theorem 4",Formal,Yes,stair_gate_safety,No,Lean Proof,Corollary 1,Verified
C4,"90% of injuries to young children occur in or around their home",Background,Section 2,"World report on child injury prevention (WHO)",Literature,No,No,No,Literature Review,Widely cited WHO statistic,Verified
C5,"Accidental stair falls frequently occur due to distractions or missing barriers",Background,Section 2,"Consumer products contributing to fall injuries (Ali et al., 2019)",Literature,No,No,No,Literature Review,CPSC data analysis,Verified
C6,"Safety holds if and only if there is no initial-to-hazard reachable state.",Theorem,Section 4,"Theorem 1",Formal,Yes,reachability_invariant_equivalence,No,Lean Proof,Standard model checking equivalence,Verified
C7,"When interventions only remove transitions, adding further blocked transitions preserves an already established safety property.",Theorem,Section 4,"Theorem 2",Formal,Yes,barrier_monotonicity,No,Lean Proof,Monotonicity of restricted reachability,Verified
C8,"If C intersects every initial-to-hazard path, removing C makes hazards unreachable.",Theorem,Section 4,"Theorem 3",Formal,Yes,cut_set_sufficiency,No,Lean Proof,Cut set sufficiency,Verified
C9,"If the abstract model overapproximates the concrete system and is safe, the concrete system is safe.",Theorem,Section 4,"Theorem 8",Formal,Yes,conservative_abstraction_safety_transfer,No,Lean Proof,Simulation preservation,Verified
C10,"The proposed pipeline achieves a 0.0% false-safe rate on the ECSafe benchmark.",Result,Section 11,"RQ3 Summary Data",Empirical,No,No,Yes,Experiment,Empirical finding,Verified
